title,author,year,rating,summary,link,ISBN,city,genre,language,publisher
Phantastes,George MacDonald,1850,3.57,"One of George MacDonald's most important works, Phantastes is the story of a young man named Anotos and his long dreamlike journey in Fairy Land. It is the fairy tale of deep spiritual insight as Anotos makes his way through moments of uncertainty and peril and mistakes that can have irreversible consequences. This is also his spiritual quest that is destined to end with the supreme surrender of the self. When he finally experiences the hard-won surrender, a wave of joy overwhelms him. His intense personal introspection is honest as he is offered the full range of symbolic choices--great beauty, horrifying ugliness, irritating goblins, nurturing spirits. Each confrontation in Fairy Land allows Anotos to learn many necessary lessons. As he continues on the journey, many shadowy beings threaten his spiritual well-being and compel him to sing. The songs are irresistible to a beautiful White Lady who is freed from inside a statue by the music, and Anotos remains captivated by her for a long time. He sees the world more objectively; his trek invites a natural descent into feelings of pride and egotism. But his losses and sorrows coalesce themselves into things of grace, and these experiences help his spiritual growth.     Please Note:  This book has been reformatted to be easy to read in true text, not scanned images that can sometimes be difficult to decipher.  The Microsoft eBook has a contents page linked to the chapter headings for easy navigation. The Adobe eBook has bookmarks at chapter headings and is printable up to two full copies per year.  Both versions are text searchable.",http://openlibrary.org/works/OL15450W?edition=key%3A/books/OL48581900M,OL48581900M,,,English,Project Gutenberg
The  road to Oz,L. Frank Baum,1909,3.33,Dorothy and her friends follow the enchanted road to Oz and arrive in time for Ozma's birthday party.,http://openlibrary.org/works/OL262390W?edition=key%3A/books/OL23330498M,OL23330498M,Chicago,Juvenile fiction.,English,Reilly & Lee
The Silmarillion,J.R.R. Tolkien,1977,3.95,"A number-one New York Times bestseller when it was originally published, The Silmarillion is the core of J.R.R. Tolkien's imaginative writing, a work whose origins stretch back to a time long before The Hobbit.",http://openlibrary.org/works/OL27495W?edition=key%3A/books/OL51711297M,OL51711297M,,,English,Book Club Associates
The Last Battle,C.S. Lewis,1956,3.85,"For the first time, an edition of Lewis's classic fantasy fiction packaged specifically for adults. Complementing the look of the author's non-fiction books, and anticipating the forthcoming Narnia feature films, this edition contains an exclusive ""P.S."" section about the history of the book, plus a round-up of the first six titles. The last days of Narnia, and all hope seems lost as lies and treachery interweave to threaten the destruction of everything. As the battle lines are drawn, old friends are summoned back to Narnia, though none can predict the outcome in this magnificent ending to the famous series. On 9 December 2005, Andrew (Shrek) Adamson's live-action film adaptation of The Lion, the Witch and the Wardrobe will be released by Disney, and it is already being hailed as the biggest film franchise of all time, guaranteed to appeal to adults and children across the globe. The second film is already in development. Sporting breathtaking new photographic covers, these new adult editions of the seven Chronicles of Narnia now give everyone an opportunity to experience the adventures in their original form. Re-live your childhood fantasies or discover for the first time what everyone will be talking about by Christmas and savour some of the best-loved stories ever written.",http://openlibrary.org/works/OL71124W?edition=key%3A/books/OL30152672M,OL30152672M,[Place of publication not identified],,English,Index
"The story of Doctor Dolittle: being the history of his peculiar life at home and astonishing adventuresin foreign parts, never before printed",Hugh Lofting,1920,3.20,"There are some of us now reaching middle age who discover themselves to be lamenting the past in one respect if in none other, that there are no books written now for children comparable with those of thirty years ago.  I say written FOR children because the new psychological business of writing ABOUT them as though they were small pills or hatched in some especially scientific method is extremely popular today.",http://openlibrary.org/works/OL1449046W?edition=key%3A/books/OL13867086M,OL13867086M,London,,English,Cape
Grimm's fairy tales,Brothers Grimm,1800,4.40,An illustrated edition of more than 200 traditional tales collected from German folklore by the Brothers Grimm.,http://openlibrary.org/works/OL45361W?edition=key%3A/books/OL7146062M,OL7146062M,New York,,English,Hampton
The Silver Chair,C.S. Lewis,1953,3.96,Jill and Eustace must rescue the Prince from the evil Witch.,http://openlibrary.org/works/OL71078W?edition=key%3A/books/OL31967838M,OL31967838M,,,English,Collier Books
Momo,Michael Ende,1973,4.54,"The Neverending Story is Michael Ende's best-known book, but Momo, published six years earlier, is the all-ages fantasy novel that first won him wide acclaim. After the sweet-talking gray men come to town, life becomes terminally efficient. Can Momo, a young orphan girl blessed with the gift of listening, vanquish the ashen-faced time thieves before joy vanishes forever?",http://openlibrary.org/works/OL2271626W?edition=key%3A/books/OL2847987M,OL2847987M,"Garden City (New York), USA",,English,Doubleday
"The Lion, the Witch and the Wardrobe",C.S. Lewis,1950,4.13,"Four English schoolchildren find their way through the back of a wardrobe into the magic land of Narnia and assist Aslan, the golden lion, to triumph over the White Witch, who has cursed the land with eternal winter.",http://openlibrary.org/works/OL71037W?edition=key%3A/books/OL3676511M,OL3676511M,[New York],,English,HarperCollins
The  land of Oz: a sequel to The wizard of Oz,L. Frank Baum,1904,3.25,"Tip and his creation, Jack Pumpkin, run away to Oz, where they save the city after it is captured by girls.",http://openlibrary.org/works/OL18396W?edition=key%3A/books/OL19879211M,OL19879211M,Toronto,,English,"Copp, Clark"
Prince Caspian,C.S. Lewis,1951,3.96,This edition doesn't have a description yet. Can you add one?,http://openlibrary.org/works/OL71069W?edition=key%3A/books/OL27420959M,OL27420959M,,,English,Lions
The Enchanted Castle,Edith Nesbit,1907,4.00,"The Enchanted Castle is a novel for young readers by Edith Nesbit, who was writing in the late Victorian and early Edwardian era in Britain. As in her other children’s books, it begins in the everyday world but quickly brings in the fantastical and magical. A large part of the delight of Nesbit’s books is that her children behave in quite ordinary ways, getting into scrapes, getting dirty and their clothes torn, making decisions which seem right to them at the time but which are generally wrong-headed. It’s the contrast between the ordinariness of the children and the magical adventures they become involved in which makes the books so charming.
The Enchanted Castle was originally serialized in The Strand Magazine alongside stories by Rudyard Kipling and Arthur Conan Doyle. The first book edition was published in 1907.
In the story, Kathleen and her brothers Gerald and Jimmy find a way into a remarkable garden designed to create a Palladian landscape, full of statues and pseudo-Classical temples and buildings. It is not long before they come across a sleeping Princess. They wake her, and she introduces them to an item of real magical value, a ring which makes its wearer invisible. But once on, the ring won’t come off! “Those of my readers who have gone about much with an invisible companion will not need to be told how awkward the whole business is,” comments the author, which is indicative of the simple and direct language she uses, and the humor of the books. Even the invisibility ring, however, is not quite as simple as it seems; and many interesting and amusing adventures follow.",http://openlibrary.org/works/OL99541W?edition=key%3A/books/OL37044497M,OL37044497M,,,English,Standard Ebooks
The Two Towers: Being the second part of The Lord of the Rings,J.R.R. Tolkien,1954,4.35,"The Lord of the Rings, J.R.R. Tolkien's three-volume epic, is set in the imaginary world of Middle-earth -- home to many strange beings, and most notably hobbits, a peace-loving ""little people,"" cheerful and shy. Since its original British publication in 1954-55, the saga has entranced readers of all ages. It is at once a classic myth and a modern fairy tale. Critic Michael Straight has hailed it as one of the ""very few works of genius in recent literature."" Middle-earth is a world receptive to poets, scholars, children, and all other people of good will. Donald Barr has described it as ""a scrubbed morning world, and a ringing nightmare world...especially sunlit, and shadowed by perils very fundamental, of a peculiarly uncompounded darkness."" The story of this world is one of high and heroic adventure. Barr compared it to Beowulf, C.S. Lewis to Orlando Furioso, W.H. Auden to The Thirty-nine Steps. In fact the saga is sui generis -- a triumph of imagination which springs to life within its own framework and on its own terms. - Jacket flap.
Frodo and the Companions of the Ring have been beset by danger during their quest to prevent the Ruling Ring from falling into the hands of the Dark Lord by destroying it in the Cracks of Doom. They have lost the wizard, Gandalf, in the battle with an evil spirit in the Mines of Moria; and at the Falls of Rauros, Boromir, seduced by the power of the Ring, tried to seize it by force. While Frodo and Sam made their escape the rest of the company were attacked by Orcs. Now they continue their journey alone down the great River Anduin – alone, that is, save for the mysterious creeping figure that follows wherever they go. J.R.R. Tolkien’s great work of imaginative fiction has been labelled both a heroic romance and a classic fantasy fiction. By turns comic and homely, epic and diabolic, the narrative moves through countless changes of scene and character in an imaginary world which is totally convincing in its detail.
Also contained in:",http://openlibrary.org/works/OL27479W?edition=key%3A/books/OL42876459M,OL42876459M,London,,English,HarperCollins Publishers
The Magician's Nephew,C.S. Lewis,1955,4.06,"Digory let out a scream. “What's happened to Polly?” “Congratulate me, my dear boy,” said Uncle Andrew, rubbing his hands. “My experiment has succeeded. The little girl's gone – vanished – right out of this world.” When Digory and Polly discover Uncle Andrew's secret workshop, they are tricked into touching some magic rings that take them right out of this world. But even Uncle Andrew doesn't realise the wonders that lie ahead as they discover the gateway to the magical land of Narnia, where many thrilling adventures await them.",http://openlibrary.org/works/OL71042W?edition=key%3A/books/OL13875254M,OL13875254M,UK,,English,Penguin
The Horse and his Boy,C.S. Lewis,1954,3.86,A boy and a talking horse share an adventurous and dangerous journey to Narnia to warn of invading barbarians.,http://openlibrary.org/works/OL71058W?edition=key%3A/books/OL32768800M,OL32768800M,[Place of publication not identified],,English,Diamond Books
The Return of the King: Being the Third Part of The Lord of the Rings,J.R.R. Tolkien,1950,,"THE RETURN OF THE KING, which brings to a close the great epic of war and adventure begun in The Fellowship of the Ring and continued in The Two Towers, is the third and final part of J. R. R. Tolkien's masterpiece, ""The Lord of the Rings.""
In these three books, which form one continuous narrative, Tolkien created the saga of the Hobbits of Middle-earth and the great War of the Rings. Praised by such writers and poets as W. H. Auden, Richard Hughes and C. S. Lewis, ""The Lord of the Rings"" - that special world of beauty and terror and meaning - holds a secure place among the books that will live.
Also contained in:",http://openlibrary.org/works/OL27516W?edition=key%3A/books/OL10682515M,OL24934077M,New York,,English,Ballantine Books
The Lord of the Rings,J.R.R. Tolkien,1954,4.55,"Originally published from 1954 through 1956, J.R.R. Tolkien's richly complex series ushered in a new age of epic adventure storytelling. A philologist and illustrator who took inspiration from his work, Tolkien invented the modern heroic quest novel from the ground up, creating not just a world, but a domain, not just a lexicon, but a language, that would spawn countless imitators and lead to the inception of the epic fantasy genre. Today, THE LORD OF THE RINGS is considered ""the most influential fantasy novel ever written."" (THE ENCYCLOPEDIA OF FANTASY)
During his travels across Middle-earth, the hobbit Bilbo Baggins had found the Ring. But the simple band of gold was far from ordinary; it was in fact the One Ring - the greatest of the ancient Rings of Power. Sauron, the Dark Lord, had infused it with his own evil magic, and when it was lost, he was forced to flee into hiding.
But now Sauron's exile has ended and his power is spreading anew, fueled by the knowledge that his treasure has been found. He has gathered all the Great Rings to him, and will stop at nothing to reclaim the One that will complete his dominion. The only way to stop him is to cast the Ruling Ring deep into the Fire-Mountain at the heart of the land of Mordor--Sauron's dark realm.
Fate has placed the burden in the hands of Frodo Baggins, Bilbo's heir...and he is resolved to bear it to its end. Or his own.
Contains",http://openlibrary.org/works/OL27448W?edition=key%3A/books/OL51711484M,OL51711484M,Boston,,English,Houghton Mifflin Company
Through the looking-glass,Lewis Carroll,1871,3.89,"Through the Looking-Glass, and What Alice Found There (1871) is a work of children's literature by Lewis Carroll (Charles Lutwidge Dodgson), generally categorized in the fairy tale genre. It is the sequel to Alice's Adventures in Wonderland (1865). Although it makes no reference to the events in the earlier book, the themes and settings of Through the Looking-Glass make it a kind of mirror image of Wonderland: the first book begins outdoors, in the warm month of May, uses frequent changes in size as a plot device, and draws on the imagery of playing cards; the second opens indoors on a snowy, wintry night exactly six months later, on November 4 (the day before Guy Fawkes Night), uses frequent changes in time and spatial directions as a plot device, and draws on the imagery of chess. In it, there are many mirror themes, including opposites, time running backwards, and so on. (Wikipedia)",http://openlibrary.org/works/OL151406W?edition=key%3A/books/OL38582653M,OL38582653M,,,English,"Ward, Lock & Co. Limited"
Peter Pan,J. M. Barrie,1911,3.72,"The adventures of the three Darling children in Never-Never Land with Peter Pan, the boy who would not grow up.",http://openlibrary.org/works/OL462007W?edition=key%3A/books/OL48213074M,OL48213074M,,,English,CreateSpace Independent Publishing Platform
